GO_ID,n_genes,n_edges,density,n_components,largest_component,avg_degree,clustering,is_clique
GO_0009007_F_site-specific_DNA-methyltransferase_adenine-specific_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0033281_C_TAT_protein_transport_complex,6,7,0.4666666666666667,2,4,2.3333333333333335,0.6666666666666666,False
GO_0015419_F_ABC-type_sulfate_transporter_activity,3,3,1.0,1,3,2.0,1.0,True
GO_0006979_P_response_to_oxidative_stress,12,15,0.22727272727272727,2,10,2.5,0.35000000000000003,False
GO_0031579_P_membrane_raft_organization,2,1,1.0,1,2,1.0,0.0,True
GO_0019171_F_3R_-hydroxyacyl-_acyl-carrier-protein_dehydratase_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0060261_P_positive_regulation_of_transcription_initiation_by_RNA_polymerase_II,3,3,1.0,1,3,2.0,1.0,True
GO_0000166_F_nucleotide_binding,34,33,0.058823529411764705,9,15,1.9411764705882353,0.24299719887955185,False
GO_0000105_P_L-histidine_biosynthetic_process,19,72,0.42105263157894735,2,13,7.578947368421052,0.8829687856003646,False
GO_0035494_P_SNARE_complex_disassembly,2,1,1.0,1,2,1.0,0.0,True
GO_0034511_F_U3_snoRNA_binding,6,15,1.0,1,6,5.0,1.0,True
GO_0005096_F_GTPase_activator_activity,21,32,0.1523809523809524,4,14,3.0476190476190474,0.427437641723356,False
GO_0008706_F_6-phospho-beta-glucosidase_activity,3,2,0.6666666666666666,1,3,1.3333333333333333,0.0,False
GO_0009103_P_lipopolysaccharide_biosynthetic_process,17,45,0.33088235294117646,1,17,5.294117647058823,0.7122782446311857,False
GO_0005786_C_signal_recognition_particle_endoplasmic_reticulum_targeting,2,1,1.0,1,2,1.0,0.0,True
GO_0071586_P_CAAX-box_protein_processing,2,1,1.0,1,2,1.0,0.0,True
GO_0006491_P_N-glycan_processing,5,7,0.7,1,5,2.8,0.7666666666666666,False
GO_0034515_C_proteasome_storage_granule,9,36,1.0,1,9,8.0,1.0,True
GO_0007059_P_chromosome_segregation,22,37,0.16017316017316016,3,16,3.3636363636363638,0.44610389610389606,False
GO_0042601_C_endospore-forming_forespore,6,7,0.4666666666666667,2,4,2.3333333333333335,0.6666666666666666,False
GO_1990334_C_Bfa1-Bub2_complex,2,1,1.0,1,2,1.0,0.0,True
GO_0006606_P_protein_import_into_nucleus,17,69,0.5073529411764706,1,17,8.117647058823529,0.7843385372797137,False
GO_0140429_P_positive_regulation_of_mitotic_sister_chromatid_biorientation,3,3,1.0,1,3,2.0,1.0,True
GO_0030261_P_chromosome_condensation,8,7,0.25,3,3,1.75,0.75,False
GO_0001400_C_mating_projection_base,4,6,1.0,1,4,3.0,1.0,True
GO_0004713_F_protein_tyrosine_kinase_activity,7,4,0.19047619047619047,3,3,1.1428571428571428,0.0,False
GO_0015990_P_electron_transport_coupled_proton_transport,8,11,0.39285714285714285,1,8,2.75,0.5416666666666666,False
GO_0051301_P_cell_division,90,431,0.10761548064918851,2,48,9.577777777777778,0.5865294720916834,False
GO_0140318_F_protein_transporter_activity,5,4,0.4,2,3,1.6,0.6,False
GO_0015503_F_glutathione-regulated_potassium_exporter_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0031931_C_TORC1_complex,2,1,1.0,1,2,1.0,0.0,True
GO_0009252_P_peptidoglycan_biosynthetic_process,51,479,0.3756862745098039,2,49,18.784313725490197,0.7201950982339129,False
GO_0001181_F_RNA_polymerase_I_general_transcription_initiation_factor_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0050044_F_galactose-6-phosphate_isomerase_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0001401_C_SAM_complex,3,3,1.0,1,3,2.0,1.0,True
GO_0007031_P_peroxisome_organization,3,3,1.0,1,3,2.0,1.0,True
GO_0071007_C_U2-type_catalytic_step_2_spliceosome,2,1,1.0,1,2,1.0,0.0,True
GO_0042720_C_mitochondrial_inner_membrane_peptidase_complex,2,1,1.0,1,2,1.0,0.0,True
GO_0008139_F_nuclear_localization_sequence_binding,2,1,1.0,1,2,1.0,0.0,True
GO_0000019_P_regulation_of_mitotic_recombination,2,1,1.0,1,2,1.0,0.0,True
GO_0015420_F_ABC-type_vitamin_B12_transporter_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0097602_F_cullin_family_protein_binding,2,1,1.0,1,2,1.0,0.0,True
GO_0006526_P_L-arginine_biosynthetic_process,24,77,0.27898550724637683,2,16,6.416666666666667,0.8072661135161135,False
GO_1902670_F_carbon_dioxide_binding,2,1,1.0,1,2,1.0,0.0,True
GO_0006357_P_regulation_of_transcription_by_RNA_polymerase_II,106,493,0.08858939802336029,1,106,9.30188679245283,0.5416892529609846,False
GO_0051701_P_biological_process_involved_in_interaction_with_host,27,43,0.1225071225071225,3,17,3.185185185185185,0.3661375661375661,False
GO_0002184_P_cytoplasmic_translational_termination,2,1,1.0,1,2,1.0,0.0,True
GO_0044874_P_lipoprotein_localization_to_outer_membrane,5,10,1.0,1,5,4.0,1.0,True
GO_0008379_F_thioredoxin_peroxidase_activity,10,18,0.4,2,7,3.6,0.67,False
GO_0004568_F_chitinase_activity,4,6,1.0,1,4,3.0,1.0,True
GO_0010833_P_telomere_maintenance_via_telomere_lengthening,2,1,1.0,1,2,1.0,0.0,True
GO_0035269_P_protein_O-linked_mannosylation,7,13,0.6190476190476191,1,7,3.7142857142857144,0.5857142857142857,False
GO_0006826_P_iron_ion_transport,17,31,0.22794117647058823,3,10,3.6470588235294117,0.44682539682539685,False
GO_0080025_F_phosphatidylinositol-3_5-bisphosphate_binding,2,1,1.0,1,2,1.0,0.0,True
GO_0003723_F_RNA_binding,153,843,0.07249742002063983,2,88,11.019607843137255,0.4625164905649795,False
GO_0046856_P_phosphatidylinositol_dephosphorylation,3,3,1.0,1,3,2.0,1.0,True
GO_0008081_F_phosphoric_diester_hydrolase_activity,8,4,0.14285714285714285,4,2,1.0,0.0,False
GO_0044399_P_multi-species_biofilm_formation,2,1,1.0,1,2,1.0,0.0,True
GO_0006298_P_mismatch_repair,17,37,0.27205882352941174,2,9,4.352941176470588,0.6981792717086833,False
GO_0090110_P_COPII-coated_vesicle_cargo_loading,3,3,1.0,1,3,2.0,1.0,True
GO_0044571_P_2Fe-2S_cluster_assembly,2,1,1.0,1,2,1.0,0.0,True
GO_0009249_P_protein_lipoylation,7,15,0.7142857142857143,1,7,4.285714285714286,0.8857142857142858,False
GO_0030170_F_pyridoxal_phosphate_binding,85,236,0.06610644257703081,3,59,5.552941176470588,0.39093639883659903,False
GO_0007535_P_donor_selection,2,1,1.0,1,2,1.0,0.0,True
GO_0019674_P_NAD_metabolic_process,2,1,1.0,1,2,1.0,0.0,True
GO_0043047_F_single-stranded_telomeric_DNA_binding,3,3,1.0,1,3,2.0,1.0,True
GO_0004176_F_ATP-dependent_peptidase_activity,7,8,0.38095238095238093,2,4,2.2857142857142856,0.5714285714285714,False
GO_0019546_P_arginine_deiminase_pathway,2,1,1.0,1,2,1.0,0.0,True
GO_0030896_C_checkpoint_clamp_complex,2,1,1.0,1,2,1.0,0.0,True
GO_0000324_C_fungal-type_vacuole,17,15,0.11029411764705882,4,7,1.7647058823529411,0.16470588235294117,False
GO_0044650_P_adhesion_of_symbiont_to_host_cell,4,2,0.3333333333333333,2,2,1.0,0.0,False
GO_0008616_P_queuosine_biosynthetic_process,6,12,0.8,1,6,4.0,0.9,False
GO_0000781_C_chromosome_telomeric_region,24,38,0.13768115942028986,2,22,3.1666666666666665,0.35833333333333334,False
GO_0007617_P_mating_behavior,2,1,1.0,1,2,1.0,0.0,True
GO_0003400_P_regulation_of_COPII_vesicle_coating,3,3,1.0,1,3,2.0,1.0,True
GO_0005978_P_glycogen_biosynthetic_process,8,12,0.42857142857142855,2,4,3.0,1.0,False
GO_0036374_F_glutathione_hydrolase_activity,3,2,0.6666666666666666,1,3,1.3333333333333333,0.0,False
GO_0004605_F_phosphatidate_cytidylyltransferase_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0061709_P_reticulophagy,6,9,0.6,1,6,3.0,0.611111111111111,False
GO_0010468_P_regulation_of_gene_expression,6,3,0.2,3,2,1.0,0.0,False
GO_0042719_C_mitochondrial_intermembrane_space_protein_transporter_complex,4,6,1.0,1,4,3.0,1.0,True
GO_0009360_C_DNA_polymerase_III_complex,4,6,1.0,1,4,3.0,1.0,True
GO_0042450_P_L-arginine_biosynthetic_process_via_ornithine,8,12,0.42857142857142855,2,6,3.0,0.6291666666666667,False
GO_0010043_P_response_to_zinc_ion,5,6,0.6,1,5,2.4,0.8666666666666668,False
GO_0000112_C_nucleotide-excision_repair_factor_3_complex,2,1,1.0,1,2,1.0,0.0,True
GO_0016757_F_glycosyltransferase_activity,20,23,0.12105263157894737,4,10,2.3,0.47833333333333333,False
GO_0032777_C_piccolo_histone_acetyltransferase_complex,2,1,1.0,1,2,1.0,0.0,True
GO_0016989_F_sigma_factor_antagonist_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0060003_P_copper_ion_export,2,1,1.0,1,2,1.0,0.0,True
GO_0003697_F_single-stranded_DNA_binding,37,147,0.22072072072072071,3,27,7.945945945945946,0.548111453993807,False
GO_0030623_F_U5_snRNA_binding,4,2,0.3333333333333333,2,2,1.0,0.0,False
GO_0032784_P_regulation_of_DNA-templated_transcription_elongation,4,5,0.8333333333333334,1,4,2.5,0.8333333333333333,False
GO_0043570_P_maintenance_of_DNA_repeat_elements,2,1,1.0,1,2,1.0,0.0,True
GO_0003918_F_DNA_topoisomerase_type_II_double_strand_cut_ATP-hydrolyzing_activity,5,4,0.4,2,3,1.6,0.6,False
GO_0032790_P_ribosome_disassembly,2,1,1.0,1,2,1.0,0.0,True
GO_0009443_P_pyridoxal_5_-phosphate_salvage,2,1,1.0,1,2,1.0,0.0,True
GO_0009061_P_anaerobic_respiration,19,72,0.42105263157894735,1,19,7.578947368421052,0.700639711166027,False
GO_0017136_F_histone_deacetylase_activity_NAD-dependent,2,1,1.0,1,2,1.0,0.0,True
GO_0008775_F_acetate_CoA-transferase_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0009325_C_nitrate_reductase_complex,5,6,0.6,1,5,2.4,0.5333333333333333,False
GO_0006888_P_endoplasmic_reticulum_to_Golgi_vesicle-mediated_transport,23,121,0.4782608695652174,1,23,10.521739130434783,0.7698754876537891,False
GO_0035438_F_cyclic-di-GMP_binding,2,1,1.0,1,2,1.0,0.0,True
GO_0072671_P_mitochondria-associated_ubiquitin-dependent_protein_catabolic_process,3,2,0.6666666666666666,1,3,1.3333333333333333,0.0,False
GO_0004721_F_phosphoprotein_phosphatase_activity,3,2,0.6666666666666666,1,3,1.3333333333333333,0.0,False
GO_0140445_C_chromosome_telomeric_repeat_region,4,3,0.5,1,4,1.5,0.0,False
GO_0005381_F_iron_ion_transmembrane_transporter_activity,3,2,0.6666666666666666,1,3,1.3333333333333333,0.0,False
GO_0010828_P_positive_regulation_of_D-glucose_transmembrane_transport,3,3,1.0,1,3,2.0,1.0,True
GO_0008728_F_GTP_diphosphokinase_activity,3,2,0.6666666666666666,1,3,1.3333333333333333,0.0,False
GO_0034028_F_5-_carboxyamino_imidazole_ribonucleotide_synthase_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0015808_P_L-alanine_transport,2,1,1.0,1,2,1.0,0.0,True
GO_0016514_C_SWI_SNF_complex,4,6,1.0,1,4,3.0,1.0,True
GO_0015888_P_thiamine_transport,2,1,1.0,1,2,1.0,0.0,True
GO_0051321_P_meiotic_cell_cycle,6,7,0.4666666666666667,2,4,2.3333333333333335,0.6666666666666666,False
GO_0010515_P_negative_regulation_of_induction_of_conjugation_with_cellular_fusion,2,1,1.0,1,2,1.0,0.0,True
GO_0015288_F_porin_activity,13,45,0.5769230769230769,2,11,6.923076923076923,0.7829059829059829,False
GO_0031469_C_bacterial_microcompartment,12,41,0.6212121212121212,1,12,6.833333333333333,0.8169973544973544,False
GO_0034614_P_cellular_response_to_reactive_oxygen_species,6,3,0.2,3,2,1.0,0.0,False
GO_0001514_P_selenocysteine_incorporation,2,1,1.0,1,2,1.0,0.0,True
GO_0070370_P_cellular_heat_acclimation,2,1,1.0,1,2,1.0,0.0,True
GO_0051999_P_mannosyl-inositol_phosphorylceramide_biosynthetic_process,3,2,0.6666666666666666,1,3,1.3333333333333333,0.0,False
GO_0008092_F_cytoskeletal_protein_binding,5,5,0.5,1,5,2.0,0.4666666666666666,False
GO_0045004_P_DNA_replication_proofreading,6,5,0.3333333333333333,2,4,1.6666666666666667,0.38888888888888884,False
GO_0010181_F_FMN_binding,38,36,0.051209103840682786,10,10,1.894736842105263,0.09385964912280702,False
GO_0005619_C_ascospore_wall,2,1,1.0,1,2,1.0,0.0,True
GO_0007005_P_mitochondrion_organization,7,8,0.38095238095238093,2,5,2.2857142857142856,0.5476190476190476,False
GO_0000957_P_mitochondrial_RNA_catabolic_process,2,1,1.0,1,2,1.0,0.0,True
GO_0030682_P_symbiont-mediated_perturbation_of_host_defenses,5,4,0.4,2,3,1.6,0.6,False
GO_0035615_F_clathrin_adaptor_activity,4,5,0.8333333333333334,1,4,2.5,0.8333333333333333,False
GO_0009652_P_thigmotropism,2,1,1.0,1,2,1.0,0.0,True
GO_0034513_F_box_H_ACA_snoRNA_binding,2,1,1.0,1,2,1.0,0.0,True
GO_0046654_P_tetrahydrofolate_biosynthetic_process,13,31,0.3974358974358974,2,10,4.769230769230769,0.6643467643467643,False
GO_0008610_P_lipid_biosynthetic_process,5,10,1.0,1,5,4.0,1.0,True
GO_0036244_P_cellular_response_to_neutral_pH,37,69,0.1036036036036036,5,26,3.72972972972973,0.3486915486915487,False
GO_0046685_P_response_to_arsenic-containing_substance,2,1,1.0,1,2,1.0,0.0,True
GO_0051865_P_protein_autoubiquitination,2,1,1.0,1,2,1.0,0.0,True
GO_0004458_F_D-lactate_dehydrogenase_cytochrome_activity,3,2,0.6666666666666666,1,3,1.3333333333333333,0.0,False
GO_0045039_P_protein_insertion_into_mitochondrial_inner_membrane,7,15,0.7142857142857143,1,7,4.285714285714286,0.8285714285714285,False
GO_0022626_C_cytosolic_ribosome,2,1,1.0,1,2,1.0,0.0,True
GO_0004638_F_phosphoribosylaminoimidazole_carboxylase_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0015123_F_acetate_transmembrane_transporter_activity,5,4,0.4,2,3,1.6,0.6,False
GO_0044205_P_de_novo_UMP_biosynthetic_process,13,42,0.5384615384615384,2,9,6.461538461538462,1.0,False
GO_0051191_P_prosthetic_group_biosynthetic_process,2,1,1.0,1,2,1.0,0.0,True
GO_0008745_F_N-acetylmuramoyl-L-alanine_amidase_activity,11,8,0.14545454545454545,3,5,1.4545454545454546,0.0,False
GO_0000724_P_double-strand_break_repair_via_homologous_recombination,20,71,0.3736842105263158,3,15,7.1,0.7742987567987568,False
GO_0030466_P_silent_mating-type_cassette_heterochromatin_formation,9,9,0.25,2,6,2.0,0.5925925925925926,False
GO_0015920_P_lipopolysaccharide_transport,5,10,1.0,1,5,4.0,1.0,True
GO_0007264_P_small_GTPase-mediated_signal_transduction,16,68,0.5666666666666667,1,16,8.5,0.6023799117549118,False
GO_0008932_F_lytic_endotransglycosylase_activity,4,6,1.0,1,4,3.0,1.0,True
GO_0009372_P_quorum_sensing,8,11,0.39285714285714285,2,5,2.75,0.5625,False
GO_0000050_P_urea_cycle,2,1,1.0,1,2,1.0,0.0,True
GO_0009435_P_NAD_biosynthetic_process,2,1,1.0,1,2,1.0,0.0,True
GO_0005992_P_trehalose_biosynthetic_process,5,4,0.4,2,3,1.6,0.6,False
GO_0030515_F_snoRNA_binding,10,21,0.4666666666666667,1,10,4.2,0.5542857142857144,False
GO_0006493_P_protein_O-linked_glycosylation,10,14,0.3111111111111111,1,10,2.8,0.49714285714285716,False
GO_0042645_C_mitochondrial_nucleoid,9,12,0.3333333333333333,2,6,2.6666666666666665,0.5185185185185185,False
GO_0008017_F_microtubule_binding,9,20,0.5555555555555556,2,7,4.444444444444445,0.7185185185185186,False
GO_0009234_P_menaquinone_biosynthetic_process,11,42,0.7636363636363637,1,11,7.636363636363637,0.8294372294372295,False
GO_0009244_P_lipopolysaccharide_core_region_biosynthetic_process,8,10,0.35714285714285715,1,8,2.5,0.5375,False
GO_0017168_F_5-oxoprolinase_ATP-hydrolyzing_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0032153_C_cell_division_site,37,144,0.21621621621621623,3,18,7.783783783783784,0.6324572001042591,False
GO_0006429_P_leucyl-tRNA_aminoacylation,2,1,1.0,1,2,1.0,0.0,True
GO_0010696_P_positive_regulation_of_mitotic_spindle_pole_body_separation,2,1,1.0,1,2,1.0,0.0,True
GO_0051228_P_mitotic_spindle_disassembly,2,1,1.0,1,2,1.0,0.0,True
GO_0005634_C_nucleus,547,4210,0.02819240479203916,1,547,15.393053016453383,0.33803143325157853,False
GO_0033202_C_DNA_helicase_complex,3,3,1.0,1,3,2.0,1.0,True
GO_0004660_F_protein_farnesyltransferase_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0001411_C_hyphal_tip,29,147,0.3620689655172414,1,29,10.137931034482758,0.6884104125443983,False
GO_0042777_P_proton_motive_force-driven_plasma_membrane_ATP_synthesis,3,3,1.0,1,3,2.0,1.0,True
GO_0004731_F_purine-nucleoside_phosphorylase_activity,4,3,0.5,1,4,1.5,0.0,False
GO_0004749_F_ribose_phosphate_diphosphokinase_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0005663_C_DNA_replication_factor_C_complex,5,10,1.0,1,5,4.0,1.0,True
GO_0009039_F_urease_activity,3,3,1.0,1,3,2.0,1.0,True
GO_0003987_F_acetate-CoA_ligase_activity,4,2,0.3333333333333333,2,2,1.0,0.0,False
GO_0071260_P_cellular_response_to_mechanical_stimulus,5,7,0.7,1,5,2.8,0.7,False
GO_0051286_C_cell_tip,8,10,0.35714285714285715,1,8,2.5,0.35416666666666663,False
GO_0008198_F_ferrous_iron_binding,5,3,0.3,2,3,1.2,0.0,False
GO_0005680_C_anaphase-promoting_complex,5,10,1.0,1,5,4.0,1.0,True
GO_0003958_F_NADPH-hemoprotein_reductase_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0071470_P_cellular_response_to_osmotic_stress,6,5,0.3333333333333333,2,4,1.6666666666666667,0.38888888888888884,False
GO_0019354_P_siroheme_biosynthetic_process,2,1,1.0,1,2,1.0,0.0,True
GO_0005852_C_eukaryotic_translation_initiation_factor_3_complex,4,6,1.0,1,4,3.0,1.0,True
GO_0008878_F_glucose-1-phosphate_adenylyltransferase_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0045324_P_late_endosome_to_vacuole_transport,5,10,1.0,1,5,4.0,1.0,True
GO_0008902_F_hydroxymethylpyrimidine_kinase_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0019395_P_fatty_acid_oxidation,2,1,1.0,1,2,1.0,0.0,True
GO_0009450_P_gamma-aminobutyric_acid_catabolic_process,3,3,1.0,1,3,2.0,1.0,True
GO_0008298_P_intracellular_mRNA_localization,4,2,0.3333333333333333,2,2,1.0,0.0,False
GO_0005835_C_fatty_acid_synthase_complex,2,1,1.0,1,2,1.0,0.0,True
GO_0000329_C_fungal-type_vacuole_membrane,38,70,0.09957325746799431,5,26,3.6842105263157894,0.42332346016556543,False
GO_0015944_P_formate_oxidation,4,4,0.6666666666666666,1,4,2.0,0.5833333333333333,False
GO_0044208_P_de_novo_AMP_biosynthetic_process,4,2,0.3333333333333333,2,2,1.0,0.0,False
GO_0006313_P_DNA_transposition,2,1,1.0,1,2,1.0,0.0,True
GO_0034399_C_nuclear_periphery,9,12,0.3333333333333333,2,6,2.6666666666666665,0.8148148148148148,False
GO_0005951_C_carbamoyl-phosphate_synthase_complex,2,1,1.0,1,2,1.0,0.0,True
GO_0003849_F_3-deoxy-7-phosphoheptulonate_synthase_activity,5,4,0.4,2,3,1.6,0.6,False
GO_0004751_F_ribose-5-phosphate_isomerase_activity,4,2,0.3333333333333333,2,2,1.0,0.0,False
GO_0004806_F_triacylglycerol_lipase_activity,4,2,0.3333333333333333,2,2,1.0,0.0,False
GO_0007035_P_vacuolar_acidification,9,28,0.7777777777777778,1,9,6.222222222222222,0.9047619047619047,False
GO_1990317_C_Gin4_complex,6,13,0.8666666666666667,1,6,4.333333333333333,0.9,False
GO_0004096_F_catalase_activity,4,4,0.6666666666666666,1,4,2.0,0.5833333333333333,False
GO_0103068_F_leukotriene_C4_gamma-glutamyl_transferase_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0036187_P_cell_growth_mode_switching_budding_to_filamentous,7,4,0.19047619047619047,3,3,1.1428571428571428,0.0,False
GO_0045899_P_positive_regulation_of_RNA_polymerase_II_transcription_preinitiation_complex_assembly,2,1,1.0,1,2,1.0,0.0,True
GO_0062193_F_D-ribose_pyranase_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0006171_P_cAMP_biosynthetic_process,2,1,1.0,1,2,1.0,0.0,True
GO_0005384_F_manganese_ion_transmembrane_transporter_activity,6,3,0.2,3,2,1.0,0.0,False
GO_0019856_P_pyrimidine_nucleobase_biosynthetic_process,2,1,1.0,1,2,1.0,0.0,True
GO_0000001_P_mitochondrion_inheritance,6,6,0.4,1,6,2.0,0.27777777777777773,False
GO_0019158_F_mannokinase_activity,3,3,1.0,1,3,2.0,1.0,True
GO_0008776_F_acetate_kinase_activity,3,2,0.6666666666666666,1,3,1.3333333333333333,0.0,False
GO_0005615_C_extracellular_space,7,6,0.2857142857142857,2,4,1.7142857142857142,0.0,False
GO_0003714_F_transcription_corepressor_activity,5,4,0.4,2,3,1.6,0.6,False
GO_0042158_P_lipoprotein_biosynthetic_process,2,1,1.0,1,2,1.0,0.0,True
GO_0030687_C_preribosome_large_subunit_precursor,25,235,0.7833333333333333,1,25,18.8,0.8358022310618893,False
GO_1902983_P_DNA_strand_elongation_involved_in_mitotic_DNA_replication,5,8,0.8,1,5,3.2,0.8666666666666666,False
GO_0070273_F_phosphatidylinositol-4-phosphate_binding,4,6,1.0,1,4,3.0,1.0,True
GO_0008353_F_RNA_polymerase_II_CTD_heptapeptide_repeat_kinase_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0003727_F_single-stranded_RNA_binding,5,4,0.4,2,3,1.6,0.6,False
GO_0006303_P_double-strand_break_repair_via_nonhomologous_end_joining,8,17,0.6071428571428571,1,8,4.25,0.7083333333333334,False
GO_0042802_F_identical_protein_binding,58,61,0.03690260133091349,9,18,2.103448275862069,0.14408866995073893,False
GO_0030174_P_regulation_of_DNA-templated_DNA_replication_initiation,3,2,0.6666666666666666,1,3,1.3333333333333333,0.0,False
GO_0034456_C_UTP-C_complex,5,10,1.0,1,5,4.0,1.0,True
GO_0020037_F_heme_binding,67,120,0.054274084124830396,6,37,3.582089552238806,0.4585761667851221,False
GO_0002188_P_translation_reinitiation,2,1,1.0,1,2,1.0,0.0,True
GO_0000113_C_nucleotide-excision_repair_factor_4_complex,3,3,1.0,1,3,2.0,1.0,True
GO_1900407_P_regulation_of_cellular_response_to_oxidative_stress,4,6,1.0,1,4,3.0,1.0,True
GO_0061798_F_GTP_3_8_-cyclase_activity,2,1,1.0,1,2,1.0,0.0,True
GO_0005955_C_calcineurin_complex,2,1,1.0,1,2,1.0,0.0,True
GO_0035719_P_tRNA_import_into_nucleus,2,1,1.0,1,2,1.0,0.0,True
GO_0051536_F_iron-sulfur_cluster_binding,7,5,0.23809523809523808,3,3,1.4285714285714286,0.42857142857142855,False
GO_0031119_P_tRNA_pseudouridine_synthesis,3,3,1.0,1,3,2.0,1.0,True
GO_0000938_C_GARP_complex,2,1,1.0,1,2,1.0,0.0,True
GO_0015891_P_siderophore_transport,4,6,1.0,1,4,3.0,1.0,True
GO_0031146_P_SCF-dependent_proteasomal_ubiquitin-dependent_protein_catabolic_process,6,11,0.7333333333333333,1,6,3.6666666666666665,0.8222222222222223,False
GO_0006814_P_sodium_ion_transport,3,3,1.0,1,3,2.0,1.0,True
